age,education_num,race,sex,hours_per_week
19,10,White,Male,30
45,11,White,Female,40
70,10,White,Male,40
31,9,Black,Female,30
22,10,White,Male,24
36,9,White,Female,24
64,7,White,Male,40
43,10,White,Female,40
47,10,White,Female,38
34,9,White,Female,40
33,13,Asian-Pac-Islander,Female,40
21,9,White,Male,35
52,9,White,Male,45
48,9,White,Male,46
23,13,White,Male,40
71,10,Black,Male,2
29,9,White,Male,60
42,13,Black,Male,50
68,2,White,Female,20
25,9,White,Female,40
44,14,Asian-Pac-Islander,Female,40
28,9,Asian-Pac-Islander,Female,40
45,14,White,Male,40
36,10,White,Female,40
39,12,White,Male,42
46,14,White,Male,40
18,7,White,Male,16
66,11,White,Female,20
27,9,White,Male,40
28,9,White,Male,40
51,10,White,Male,40
27,13,White,Male,50
28,13,White,Male,40
27,9,White,Female,25
21,9,Black,Male,40
34,9,Black,Male,40
18,9,White,Male,12
33,13,White,Male,65
44,10,Black,Male,38
43,10,White,Female,40
30,10,Black,Male,45
40,4,White,Male,40
37,10,White,Male,42
34,9,Black,Male,40
41,13,White,Female,40
53,13,White,Female,50
31,14,White,Female,50
58,16,White,Male,1
38,10,Black,Female,28
24,10,White,Male,40
41,13,Black,Male,40
47,10,White,Male,45
41,13,White,Male,24
23,3,White,Male,40
36,10,White,Male,40
40,14,White,Female,55
35,14,White,Male,40
24,9,White,Male,40
26,14,White,Female,40
19,9,White,Male,40
51,13,White,Male,50
42,10,White,Female,40
37,9,White,Female,35
18,7,White,Female,40
36,13,Black,Male,36
35,9,White,Male,60
58,9,White,Female,35
17,7,White,Female,12
44,9,Black,Male,40
37,9,White,Male,40
35,10,Amer-Indian-Eskimo,Female,40
60,9,Asian-Pac-Islander,Male,40
54,4,White,Male,40
37,13,Black,Male,60
50,12,White,Female,40
38,13,White,Male,50
45,13,White,Male,55
25,6,White,Male,40
31,10,White,Male,40
64,2,White,Male,40
90,9,Black,Male,40
54,9,Black,Male,20
53,1,White,Female,35
18,9,White,Female,40
60,6,Amer-Indian-Eskimo,Female,10
66,9,White,Male,50
75,11,White,Female,20
65,9,White,Female,40
35,7,Black,Male,40
41,9,Black,Female,38
25,10,White,Male,42
33,10,Other,Female,40
28,15,White,Male,55
59,9,White,Male,40
40,10,White,Female,38
41,13,White,Male,50
38,14,White,Male,70
23,9,White,Male,40
40,13,White,Male,40
41,9,White,Female,20
24,12,White,Male,50
20,10,White,Male,20
38,10,White,Male,40
56,9,White,Male,35
58,9,White,Male,45
32,9,White,Female,34
40,12,White,Male,60
45,9,White,Male,40
41,15,White,Female,40
42,13,Black,Female,40
59,6,Black,Female,30
19,10,White,Male,40
58,10,White,Male,20
42,9,Asian-Pac-Islander,Male,40
20,9,White,Female,40
32,9,White,Female,30
45,11,White,Female,45
50,4,White,Male,40
36,13,White,Female,40
45,9,White,Male,60
17,7,White,Male,12
59,10,White,Male,40
26,7,White,Male,40
37,10,Asian-Pac-Islander,Male,75
19,10,White,Male,24
64,9,White,Male,40
33,13,White,Female,45
33,9,White,Female,40
61,9,White,Male,40
17,5,White,Male,24
50,14,White,Male,98
27,14,White,Male,35
30,9,White,Female,40
43,9,Black,Male,40
44,10,White,Male,40
35,10,White,Female,40
25,10,White,Female,40
24,10,White,Female,48
22,13,White,Female,15
42,10,White,Male,40
34,12,Black,Female,45
60,13,White,Female,42
21,9,White,Male,40
57,14,White,Male,40
41,15,White,Male,60
50,10,White,Male,45
25,13,White,Female,40
50,4,White,Male,40
36,13,White,Male,45
31,9,White,Female,40
29,13,White,Male,56
21,10,White,Male,45
27,13,Black,Female,40
65,9,White,Male,16
37,13,White,Female,60
39,14,Asian-Pac-Islander,Female,40
24,9,White,Male,40
38,9,White,Male,80
48,13,White,Male,40
21,10,Asian-Pac-Islander,Female,25
31,9,White,Male,45
55,9,White,Male,40
24,10,Asian-Pac-Islander,Female,40
43,9,White,Female,40
26,12,White,Male,45
46,12,White,Female,33
35,12,White,Male,40
41,10,White,Male,54
26,13,White,Male,40
34,14,Asian-Pac-Islander,Male,35
19,10,Black,Female,25
36,13,Black,Female,40
22,10,White,Male,15
24,10,White,Male,40
77,10,White,Male,40
22,3,White,Female,40
29,10,White,Female,40
62,9,White,Female,24
39,9,White,Male,40
43,10,White,Male,50
35,9,White,Male,45
29,7,White,Female,40
76,14,White,Male,10
63,9,White,Male,45
23,11,Black,Female,15
43,10,White,Female,50
58,9,White,Male,40
66,9,White,Male,55
41,10,Black,Male,45
26,13,White,Male,40
47,11,White,Male,40
55,6,White,Male,40
53,9,White,Male,40
17,3,White,Male,48
30,9,White,Male,40
49,14,White,Male,60
19,9,Black,Male,30
45,9,Black,Male,40
26,12,White,Male,40
38,11,White,Male,40
36,9,White,Male,40
33,9,White,Male,20
22,10,Black,Female,40
43,13,White,Male,42
67,7,White,Male,8
30,11,White,Female,40
56,12,White,Male,25
31,13,White,Male,25
33,13,White,Male,40
26,9,White,Male,40
33,13,White,Male,40
46,7,White,Male,30
59,13,White,Male,40
38,9,White,Male,40
65,7,Other,Male,40
40,11,White,Male,40
42,9,White,Female,35
26,5,White,Male,40
36,6,White,Female,24
62,14,White,Male,40
43,13,White,Male,45
43,13,White,Male,45
22,9,White,Male,55
28,9,White,Male,40
56,10,White,Male,45
22,12,White,Female,15
57,13,White,Female,45
39,9,White,Female,40
26,10,White,Female,15
17,7,White,Male,10
40,11,White,Male,38
45,9,Black,Male,40
44,9,Black,Male,40
20,10,White,Female,10
33,9,White,Female,40
23,10,White,Male,40
46,14,White,Male,30
38,9,White,Male,50
54,9,White,Male,40
46,3,White,Female,45
25,10,White,Male,40
46,10,White,Female,40
36,10,White,Female,40
23,9,White,Female,25
29,9,White,Male,40
44,10,White,Female,6
19,10,White,Female,16
19,9,White,Female,40
35,9,White,Female,40
27,13,White,Male,50
46,12,White,Male,40
34,13,White,Male,45
34,9,White,Female,35
44,10,White,Male,40
45,10,White,Female,40
20,9,White,Female,35
25,13,White,Male,55
52,13,White,Male,50
20,10,White,Male,40
28,10,White,Female,40
50,13,White,Male,40
34,11,White,Female,64
28,4,Other,Male,40
41,14,White,Male,65
28,9,White,Male,40
46,9,White,Male,25
28,10,White,Female,40
32,10,White,Male,50
41,10,Black,Female,24
24,9,Black,Female,40
33,10,White,Female,40
46,16,White,Male,60
31,10,White,Male,40
35,8,White,Male,50
52,2,White,Male,40
30,7,White,Female,19
34,7,Black,Male,40
34,9,White,Female,40
20,10,White,Male,30
17,7,White,Male,18
32,13,White,Female,40
29,9,White,Male,40
33,6,White,Female,35
25,9,White,Male,60
36,14,White,Male,40
23,9,White,Male,72
63,9,White,Male,40
47,14,White,Male,40
80,9,White,Male,24
17,7,White,Male,40
40,13,White,Female,40
30,12,White,Female,25
27,10,Asian-Pac-Islander,Male,40
33,14,White,Male,50
34,9,Black,Male,60
34,10,White,Female,40
23,10,White,Male,40
42,10,White,Female,40
29,13,White,Male,40
45,9,White,Female,28
24,9,White,Male,40
44,10,White,Male,40
27,5,White,Male,40
20,10,White,Male,35
44,9,Black,Female,40
51,9,Amer-Indian-Eskimo,Male,40
20,9,White,Male,40
17,7,White,Female,5
19,9,Black,Female,40
45,10,White,Male,55
60,9,White,Male,40
42,12,Black,Male,40
44,9,White,Female,40
40,11,Asian-Pac-Islander,Male,40
30,9,White,Female,40
38,10,Black,Male,50
23,9,White,Male,60
32,10,White,Male,40
44,12,White,Male,40
54,9,Black,Male,40
32,13,White,Male,50
50,2,White,Male,40
24,13,White,Female,20
37,9,White,Female,60
52,9,White,Male,40
38,10,White,Male,40
49,14,White,Male,45
30,13,White,Female,16
60,10,White,Male,40
22,10,White,Male,40
35,9,White,Male,40
30,9,White,Male,60
67,11,White,Female,24
46,13,White,Female,40
17,5,White,Male,6
22,10,White,Male,30
27,6,White,Male,40
23,9,White,Female,35
33,12,White,Male,45
43,10,White,Male,20
28,13,White,Male,20
41,9,White,Female,40
52,8,Black,Male,40
25,10,Black,Female,20
63,2,White,Male,35
59,9,White,Male,45
45,13,White,Female,40
38,13,White,Male,60
40,9,White,Female,35
46,9,White,Male,40
35,12,White,Female,60
34,9,White,Female,25
33,13,White,Male,20
41,9,White,Female,36
20,10,White,Male,40
23,3,White,Male,40
26,10,White,Female,35
72,9,White,Male,20
23,9,White,Male,40
62,9,White,Male,40
52,10,White,Male,40
58,10,White,Female,42
25,13,White,Female,40
24,13,Black,Male,40
19,10,White,Male,8
43,10,White,Male,40
47,9,Black,Female,40
39,9,White,Female,40
49,11,White,Male,42
53,3,Black,Female,30
32,11,White,Male,45
34,10,White,Male,50
28,9,White,Male,45
57,11,White,Female,38
25,10,Amer-Indian-Eskimo,Female,20
20,10,White,Male,24
21,10,White,Female,35
34,13,White,Male,50
38,13,White,Male,80
50,9,White,Male,50
24,10,Black,Male,50
37,10,White,Male,45
44,10,White,Male,58
28,10,White,Female,40
42,13,White,Male,40
74,10,White,Female,9
38,9,White,Male,50
44,14,White,Male,40
44,7,Other,Female,46
26,9,White,Male,40
36,9,Black,Male,40
41,12,White,Female,50
67,15,White,Male,48
39,8,White,Male,50
57,2,Black,Female,30
29,11,White,Male,40
31,13,White,Female,45
34,9,Black,Female,40
44,10,White,Male,40
29,16,White,Male,40
30,10,White,Female,40
27,9,White,Male,40
27,10,White,Male,50
32,9,White,Female,45
58,6,White,Female,8
35,10,White,Male,40
21,9,White,Male,36
28,10,White,Male,40
46,10,White,Male,50
36,9,White,Female,40
72,7,White,Female,40
35,9,Black,Female,40
33,11,Black,Female,40
69,7,White,Female,40
35,9,White,Male,40
31,9,White,Female,20
34,9,White,Female,32
30,7,White,Male,40
28,13,White,Male,55
54,13,White,Male,35
47,10,White,Male,50
24,9,Black,Female,40
52,13,White,Male,60
20,9,Amer-Indian-Eskimo,Male,48
43,14,White,Male,45
45,4,White,Female,40
29,9,White,Male,35
47,14,White,Male,42
24,9,White,Male,40
51,9,White,Male,40
17,7,White,Male,12
37,11,White,Male,40
27,16,White,Female,70
29,13,White,Male,40
18,8,White,Male,25
36,12,White,Female,35
58,13,White,Female,40
26,10,White,Male,45
65,10,White,Male,30
57,9,White,Male,40
59,9,White,Male,40
27,9,White,Male,40
31,13,White,Male,40
21,10,White,Female,24
29,10,White,Male,60
18,7,White,Male,40
52,6,White,Male,47
57,13,White,Male,80
42,9,White,Male,40
55,9,Asian-Pac-Islander,Female,40
60,4,White,Male,48
31,13,White,Male,40
23,13,White,Female,40
27,9,White,Male,40
23,10,Amer-Indian-Eskimo,Female,25
42,15,White,Male,50
25,10,White,Male,40
49,13,White,Female,45
32,13,White,Male,40
19,10,White,Male,28
60,4,White,Female,40
42,5,White,Male,40
35,12,White,Male,40
48,9,Black,Female,37
51,14,White,Male,40
29,9,Amer-Indian-Eskimo,Male,40
36,9,Black,Male,40
17,6,White,Female,21
52,14,White,Female,60
24,9,White,Male,40
24,9,White,Male,50
26,13,White,Male,40
27,13,White,Female,20
39,9,White,Male,60
30,9,Black,Male,45
50,9,White,Male,32
52,13,White,Male,55
46,15,White,Male,45
23,13,White,Female,20
45,7,Black,Female,20
65,5,Black,Female,24
29,11,White,Male,55
47,5,White,Male,40
30,9,Black,Male,60
34,9,White,Male,45
38,9,White,Male,64
33,10,White,Male,40
49,13,White,Male,26
47,10,Black,Female,40
49,6,Black,Female,40
43,10,White,Male,60
30,13,Black,Female,40
58,9,White,Male,60
19,9,White,Female,14
21,13,White,Male,40
33,13,White,Male,60
47,3,White,Male,50
52,16,White,Male,60
26,9,White,Male,55
60,9,White,Male,40
21,10,White,Male,40
36,10,White,Male,50
31,10,White,Male,45
50,16,White,Male,40
31,9,White,Female,40
71,9,White,Male,15
58,9,White,Male,50
30,13,White,Male,40
20,10,White,Male,20
24,9,White,Male,50
35,16,Asian-Pac-Islander,Male,40
38,10,White,Female,45
27,9,White,Female,32
29,10,Asian-Pac-Islander,Female,40
70,5,White,Female,15
34,9,White,Male,45
44,4,White,Male,35
43,9,White,Male,40
44,8,Black,Male,40
35,14,White,Male,60
27,10,White,Male,40
43,14,White,Male,38
20,10,White,Female,25
42,12,White,Female,40
27,10,White,Male,40
42,9,Black,Male,40
20,7,Asian-Pac-Islander,Female,40
24,5,White,Male,40
48,10,White,Male,40
17,7,White,Female,20
17,7,White,Male,10
33,13,White,Male,40
50,9,White,Male,50
22,9,White,Female,40
17,8,White,Male,16
32,10,White,Male,40
31,9,White,Male,45
58,9,White,Male,50
29,9,White,Male,48
37,11,White,Male,40
34,9,White,Male,40
23,10,Black,Male,40
18,7,White,Female,5
34,9,White,Female,40
66,4,White,Male,4
45,13,White,Female,55
41,14,White,Male,35
26,9,White,Male,30
54,10,White,Male,40
24,10,Black,Female,45
42,10,White,Male,50
20,10,White,Male,20
23,13,White,Female,20
25,12,White,Male,45
35,14,White,Male,60
31,14,White,Male,40
30,13,White,Female,40
19,9,White,Female,20
36,13,White,Male,50
31,13,White,Female,40
21,10,White,Male,30
31,10,White,Male,40
46,16,White,Female,65
44,13,White,Female,50
40,8,Black,Male,40
45,10,Black,Male,40
60,9,White,Male,35
18,7,White,Male,25
28,13,White,Male,40
36,10,Black,Female,40
36,13,White,Male,40
40,11,White,Male,40
36,13,White,Female,35
31,9,Black,Female,40
33,9,White,Male,40
19,9,White,Female,40
22,10,White,Female,15
34,13,White,Male,45
33,9,White,Male,40
41,9,White,Male,60
29,13,White,Male,40
50,9,White,Male,42
42,13,White,Male,45
43,13,White,Male,40
44,9,White,Female,40
20,10,White,Female,20
31,9,White,Male,40
65,7,White,Male,59
23,10,White,Female,24
55,10,Asian-Pac-Islander,Female,40
26,11,White,Male,45
25,11,White,Female,15
45,10,Black,Female,40
35,10,White,Male,40
36,10,Black,Female,36
43,13,White,Male,50
56,9,Black,Female,20
42,13,White,Male,40
19,10,White,Female,25
55,9,White,Male,72
42,14,White,Female,50
26,11,White,Male,40
17,8,White,Male,20
42,13,White,Female,40
55,9,White,Male,40
32,10,Black,Female,40
29,7,Black,Male,40
46,13,White,Male,37
29,13,White,Male,40
22,13,White,Male,20
58,6,White,Male,40
23,9,White,Male,50
39,9,White,Male,40
27,11,White,Male,38
54,9,White,Male,40
33,13,White,Female,45
46,9,White,Female,40
37,9,Black,Male,40
36,9,White,Female,18
59,9,White,Female,38
34,9,White,Male,40
53,16,White,Male,70
51,13,White,Male,55
32,6,White,Female,42
31,10,White,Male,40
22,10,White,Female,30
47,13,White,Female,50
32,9,White,Male,40
26,10,White,Female,38
37,3,White,Male,32
31,9,White,Male,55
37,11,White,Female,24
55,9,White,Male,38
23,11,White,Male,56
36,10,White,Female,40
34,14,White,Male,40
43,13,White,Male,50
54,10,White,Male,40
43,10,White,Male,40
28,11,White,Female,42
40,11,White,Male,50
41,10,White,Male,60
40,13,Other,Female,55
42,10,Black,Female,38
61,9,White,Male,50
18,8,White,Male,30
59,9,White,Male,16
21,9,White,Female,40
48,11,White,Male,50
41,13,White,Male,40
18,10,White,Male,33
23,9,White,Female,40
60,9,White,Male,60
22,10,Black,Male,20
61,9,White,Male,40
25,9,Black,Male,40
46,14,White,Male,35
43,13,White,Male,40
43,12,White,Male,40
24,9,Black,Male,30
68,7,White,Male,20
31,9,White,Female,38
17,7,White,Female,20
32,9,White,Male,48
50,14,White,Male,40
33,13,White,Male,47
64,13,White,Male,40
20,9,White,Male,30
30,9,White,Female,36
22,10,Black,Male,40
43,10,White,Male,45
22,10,White,Male,40
17,6,White,Male,20
47,9,White,Female,75
41,11,White,Female,60
56,10,White,Male,50
64,9,White,Male,45
47,9,White,Male,50
48,11,White,Male,40
31,14,White,Female,46
29,11,White,Male,40
30,9,White,Female,40
32,9,White,Male,60
57,9,White,Male,42
62,9,White,Female,40
39,9,White,Female,24
43,10,White,Male,25
24,13,White,Male,40
42,7,White,Male,15
53,10,White,Female,40
26,10,White,Male,40
73,9,White,Male,40
72,7,White,Female,24
55,9,White,Male,40
25,9,White,Male,40
41,13,White,Female,50
24,13,White,Male,50
63,9,White,Male,6
17,7,White,Male,20
35,10,White,Male,50
51,10,White,Male,40
62,13,White,Female,48
55,9,White,Male,40
43,10,White,Male,40
40,9,White,Female,50
37,13,White,Male,45
39,13,White,Male,40
31,9,White,Male,18
61,14,White,Female,40
26,11,White,Female,55
46,9,White,Male,50
26,13,White,Female,40
48,16,White,Male,50
34,9,White,Male,40
34,9,White,Female,40
59,9,White,Male,40
34,13,White,Female,40
49,13,White,Female,56
18,7,White,Female,20
43,9,White,Male,40
48,7,White,Male,50
28,10,White,Male,70
33,9,White,Male,40
24,10,White,Female,15
21,6,White,Male,40
17,7,White,Male,28
39,10,White,Male,50
29,13,White,Male,40
44,13,White,Male,40
24,10,White,Male,50
71,14,White,Male,40
51,13,Asian-Pac-Islander,Male,40
55,3,Black,Male,25
41,13,White,Male,60
23,9,Black,Female,7
38,11,White,Female,40
39,9,White,Male,40
19,9,White,Female,30
49,5,White,Female,40
32,13,White,Male,40
27,9,White,Male,70
38,13,White,Male,50
33,10,White,Female,60
63,10,White,Male,15
23,13,White,Male,28
33,10,White,Male,60
54,9,Black,Male,40
29,11,White,Female,45
48,10,Black,Female,30
35,13,White,Male,40
28,11,Asian-Pac-Islander,Female,40
37,13,White,Male,50
42,15,White,Male,65
40,14,White,Male,40
47,10,White,Male,55
22,13,White,Female,50
30,13,White,Male,45
28,9,White,Male,40
63,4,White,Male,55
51,5,White,Male,20
22,9,White,Female,40
27,12,Amer-Indian-Eskimo,Male,40
35,9,White,Male,45
46,9,White,Female,38
37,10,White,Male,52
24,13,Black,Male,15
37,9,White,Male,10
53,10,White,Male,40
27,9,White,Male,30
38,10,White,Male,44
53,6,White,Male,60
34,10,White,Male,40
23,9,Black,Male,40
39,13,White,Male,45
43,14,Asian-Pac-Islander,Female,50
67,9,Asian-Pac-Islander,Male,40
81,9,White,Male,30
21,10,White,Male,20
23,10,White,Male,25
25,10,White,Male,40
42,3,White,Female,38
38,10,Black,Female,40
64,9,White,Male,5
32,9,White,Male,40
37,9,White,Male,40
51,14,White,Male,60
22,10,White,Female,42
33,2,White,Female,40
42,9,White,Male,55
19,10,White,Female,10
51,1,White,Male,40
23,9,White,Female,40
37,7,White,Male,44
37,9,White,Male,99
47,14,White,Female,25
41,15,White,Male,40
33,9,White,Male,30
31,13,White,Male,40
31,12,Amer-Indian-Eskimo,Female,40
35,9,Black,Male,40
38,9,White,Male,40
18,9,White,Female,45
20,9,White,Male,40
54,10,Black,Female,35
40,10,White,Female,40
36,13,White,Female,45
43,10,White,Male,35
44,10,White,Male,40
44,9,White,Female,40
43,14,White,Male,43
51,4,Black,Female,40
18,9,White,Female,20
51,10,White,Male,40
41,6,White,Male,30
44,10,White,Male,70
33,6,White,Male,40
33,13,White,Male,40
42,12,White,Male,40
25,10,White,Male,45
32,9,White,Female,38
32,13,White,Male,70
36,6,White,Female,40
28,9,White,Male,40
20,9,White,Female,20
35,10,White,Male,60
55,9,White,Male,20
48,13,Asian-Pac-Islander,Male,40
36,11,White,Female,20
34,9,White,Male,35
28,13,White,Female,35
67,13,White,Male,40
37,9,White,Male,40
44,9,White,Male,70
25,10,White,Female,40
21,10,White,Female,40
40,14,White,Male,35
78,9,Black,Female,40
34,9,White,Male,40
49,9,White,Female,44
22,12,White,Female,40
23,9,Black,Female,40
60,9,White,Male,42
45,9,White,Male,40
63,11,White,Female,20
41,9,Black,Female,35
47,9,White,Female,40
44,9,White,Male,40
51,10,White,Female,40
46,13,White,Male,40
41,11,White,Male,40
50,9,White,Male,30
47,9,White,Male,50
35,9,White,Male,45
56,9,White,Male,55
45,14,White,Male,45
48,13,White,Male,58
40,10,White,Male,40
39,13,White,Male,50
20,10,White,Male,40
50,16,White,Male,65
38,9,White,Female,40
23,13,White,Female,60
31,9,White,Male,16
58,13,White,Male,40
66,9,Black,Male,40
39,9,White,Male,40
54,9,White,Male,52
26,10,White,Male,50
51,9,White,Female,40
34,11,White,Male,40
50,9,White,Male,40
42,10,White,Male,44
38,14,White,Male,25
48,4,White,Male,40
33,11,White,Female,40
51,9,White,Female,32
22,9,White,Male,40
19,9,White,Male,30
41,10,White,Male,50
48,14,White,Male,35
42,9,White,Female,30
34,10,White,Male,40
23,9,Black,Female,40
56,9,White,Male,50
30,13,Black,Male,45
45,9,White,Male,55
48,6,White,Female,40
48,14,Asian-Pac-Islander,Male,50
31,11,White,Female,40
20,12,White,Male,20
27,10,White,Male,40
32,9,Black,Female,40
76,4,White,Male,2
19,9,White,Male,40
66,5,White,Male,1
37,9,White,Male,75
34,9,Black,Female,30
34,7,White,Female,8
90,9,White,Female,40
23,10,Black,Female,40
43,10,White,Female,40
44,13,White,Male,60
24,10,White,Female,37
28,15,White,Male,55
64,12,White,Female,20
23,10,White,Male,40
20,10,White,Female,50
36,13,White,Male,50
61,9,White,Male,40
53,13,White,Male,40
30,13,White,Male,40
52,10,White,Male,55
38,10,White,Male,40
32,13,White,Male,40
30,8,White,Male,75
41,11,White,Female,40
49,14,White,Male,40
45,9,White,Male,47
43,9,White,Male,35
61,9,White,Male,40
54,9,White,Male,32
34,12,White,Female,40
49,10,White,Male,80
38,10,White,Male,40
35,15,White,Male,80
36,8,White,Male,40
30,13,White,Male,50
36,12,White,Female,60
22,13,White,Female,20
38,9,White,Male,40
37,9,White,Male,50
48,16,White,Female,46
17,7,White,Male,15
19,10,White,Male,20
27,13,Black,Female,40
22,13,Asian-Pac-Islander,Male,50
49,9,White,Male,40
43,11,White,Female,40
43,13,White,Female,40
19,9,White,Female,35
58,9,White,Male,60
41,10,White,Male,40
31,10,White,Male,40
30,11,White,Male,40
32,9,White,Male,40
29,13,White,Male,35
42,10,White,Male,52
38,9,White,Male,28
41,12,White,Male,40
44,13,White,Male,50
31,16,Asian-Pac-Islander,Male,60
34,9,White,Male,40
21,10,White,Male,40
22,13,Asian-Pac-Islander,Male,20
62,6,White,Male,40
19,9,White,Female,40
29,9,White,Female,25
43,10,White,Female,40
68,4,White,Male,8
45,13,White,Male,60
39,5,White,Male,40
41,13,Black,Male,50
34,12,White,Female,25
34,9,White,Female,33
31,13,White,Male,47
29,9,White,Male,25
41,13,White,Male,40
41,11,White,Male,55
35,14,White,Male,45
33,13,White,Female,45
37,13,White,Male,38
69,9,White,Female,40
34,9,White,Female,40
60,11,White,Male,70
36,10,White,Male,40
41,9,White,Male,50
58,13,White,Female,40
53,13,Asian-Pac-Islander,Male,40
29,10,White,Male,40
45,9,White,Female,40
34,10,White,Male,38
36,13,White,Male,40
48,10,Black,Female,35
20,11,White,Female,40
35,9,White,Male,50
63,9,Black,Male,40
41,10,White,Male,45
28,13,White,Male,45
30,10,Black,Female,40
34,9,White,Female,40
31,9,White,Female,40
37,11,White,Female,38
42,10,White,Male,40
31,10,White,Male,50
46,14,White,Male,45
35,9,Black,Male,60
27,9,White,Male,53
41,2,White,Male,35
19,10,White,Female,20
20,10,White,Male,45
59,9,White,Female,40
40,13,White,Male,37
56,10,White,Male,60
33,14,White,Male,44
30,10,White,Female,60
46,9,White,Male,50
61,9,White,Male,35
50,9,White,Male,40
25,9,White,Male,30
40,10,White,Female,39
24,10,White,Male,40
51,9,White,Male,54
43,9,White,Male,40
34,10,White,Male,54
46,9,White,Male,45
28,14,White,Female,50
26,13,Asian-Pac-Islander,Male,40
20,9,White,Male,28
44,11,White,Male,40
51,9,White,Male,40
33,13,White,Male,60
54,12,White,Male,40
50,13,White,Female,40
33,9,Black,Female,40
65,13,White,Male,20
22,10,White,Female,8
88,15,White,Male,40
40,9,White,Male,40
51,9,White,Female,43
50,7,Black,Female,40
25,14,White,Male,99
20,11,White,Male,30
47,9,White,Male,40
58,10,White,Male,40
22,11,White,Female,30
50,9,White,Male,48
47,9,White,Female,40
24,7,Asian-Pac-Islander,Male,45
50,9,White,Male,40
40,13,White,Female,45
36,13,White,Male,40
32,9,White,Male,40
44,9,White,Male,40
51,14,White,Male,40
59,10,Black,Female,40
65,9,White,Male,30
24,13,White,Female,65
27,13,White,Male,35
51,11,White,Male,40
48,10,White,Male,40
39,9,White,Male,60
28,13,White,Male,40
19,10,White,Female,25
49,13,Black,Female,40
51,12,White,Male,60
59,14,White,Male,55
18,9,White,Female,40
50,9,White,Male,40
45,9,Black,Male,80
30,13,White,Male,50
37,13,White,Male,35
44,13,White,Male,40
33,10,Black,Male,40
61,14,White,Male,40
61,9,White,Male,40
38,13,White,Male,42
22,10,White,Male,30
36,9,White,Male,45
44,10,White,Male,60
37,10,White,Male,62
31,10,White,Female,20
54,16,White,Male,45
20,10,White,Male,16
63,13,White,Female,40
